Node ID,Site ID,Offset (mm),Clean
001A,ARB025,4905.5,0
001A,MDOT11328,9448.8,0
001A,PTK014,1841.5,0
003A,ARB017,1517.65,0
004A,MDOT335,2476.5,1
004A,PTK016,1670,0
005A,ARB031,8213.73,1
006A,ARB013,3048,0
006A,PTK014,1841.5,1
007A,DET001,5000,0
008A,ARB048,2734,1
009A,ARB015,1930,1
010A,MDOT10428,6000,0
010A,PTK017,1683,0
010A,ARB084,1498.6,1
011A,ARB015,1930,0
012A,ARB032,1772,1
013A,MDOT8955,2476.5,1
013A,PTK013,1638,1
014A,MDOT6513,3530.6,1
014A,PTK020,1135.5,0
015A,ARB013,12300,0
016A,ARB017,1517.65,0
016A,PTK016,1625.6,1
017A,ARB029,2035,1
017A,ARB056,1917.7,0
019A,ARB028,4102,1
020A,ARB056,1960,1
020A,MDOT390,6400.8,0
021A,DET015,3108.33,1
022A,ARB047,1780,1
023A,ARB017,1517.65,0
023A,PTK009,903.17,0
024A,DET001,5000,0
025A,PTK019,1110,0
026A,MDOT3970,8661.4,1
026A,PTK025,4000,0
027A,ARB029,2035,0
027A,ARB031,8213.73,1
028A,MDOT7092,4470.4,1
028A,PTK018,1403.35,0
029A,ARB012,6858,0
029A,ARB026,4919,0
029A,MDOT8767,7416.8,1
030A,DET016,2590.8,1
030A,DET021,1676.4,1
031A,MDOT488,3048,1
031A,PTK021,1355,0
032A,ARB027,5791.2,1
032A,DET026,5500,0
033A,ARB012,6858,0
033A,DET033,6375.4,1
034A,DET022,2476.5,1
035A,MDOT2892,3225.8,0
035A,DET038,5207,0
035A,DET027,2489.2,0
036A,ARB003,1905,0
036A,DET009,5194.3,1
037A,ARB034,2063,1
039A,ARB049,2254.25,0
040A,PTK013,1625.6,1
041A,MDOT752,2247.9,1
041A,PTK024,1598,0
042A,ARB025,4905.5,0
042A,MDOT2892,3225.8,0
043A,PTK027,3641.73,1
044A,ARB002,1530,0
044A,MDOT7075,7824.2,0
044A,DET004,3784.6,0
045A,ARB050,1621,0
045A,MDOT7587,5080,1
046A,ARB018,2078,0
047A,PTK008,3409.9,1
047A,ARB063,2171.7,1
048A,ARB006,2600,1
049A,ARB046,1798,0
049A,DET024,3492.5,0
050A,ARB029,2035,0
050A,PTK024,1790.7,0
050A,PTK028,1600.2,0
051A,DET012,3994.15,0
052A,PTK010,1754,0
053A,ARB015,1930,1
053A,MDOT7075,7950.2,1
054A,ARB012,6858,0
055A,PTK022,1500,0
056A,PTK023,1605,0
056A,DET008,2387.6,0
057A,PTK026,1355,0
058A,PTK012,1903,1
060A,ARB046,1798,0
060A,ARB080,1791,1
061A,MDOT1072,4013.2,0
061A,DET018,1854.2,1
062A,DET019,1651,1
063A,MDOT9178,5791,1
064A,MDOT1072,4013.2,1
064A,PTK014,1841.5,0
065A,MDOT2471,2610,0
066A,DET011,4114.8,1
067A,PTK018,1504.9,0
068A,ARB027,6667,0
068A,MDOT6142,8400,0
069A,MDOT7079,4350,1
070A,MDOT7166,2850,0
071A,ARB025,4905.5,0
071A,MDOT1091,5000,1
072A,MDOT2613,10211,0
072A,MDOT8488,7010.4,1
073A,ARB003,1905,0
074A,ARB015,1930,1
075A,ARB025,4905.5,1
076A,DET033,6102.3,1
076A,MDOT4240,10000,1
080A,MDOT10428,6096,1
081A,ARB031,8213.73,0
082A,PTK025,3327.5,0
083A,PTK014,1841.5,0
084A,ARB027,6667,0
084A,DET005,2654.3,0
085A,PTK001,1803.4,0
086A,ARB026,4919,0
087A,ARB050,1574.8,0
088A,DET023,5308.6,0
088A,MDOT5772,5638.6,1
089A,PTK020,2470.15,0
090A,DET016,2590.8,1
091A,PTK002,2438.4,1
092A,DET026,5308.6,0
093A,PTK028,1600.2,0
094A,PTK008,3409.9,1
095A,MDOT3082,7061.2,1
096A,DET038,4495.8,1
097A,ARB002,1562.1,1
099A,MDOT4706,6654.8,0
100A,PTK017,1720.9,0
101A,DET011,4114.8,0
101A,MDOT6140,7696.2,1
102A,PTK024,1790.7,1
104A,MDOT2613,10211,0
105A,MDOT2954,4953,1
106A,MDOT6140,7696.2,0
107A,MDOT1500,1879.6,1
108A,MDOT10428,6096,1
109A,MDOT9682,2946.4,1
110A,MDOT6440,3556,1
111A,DET020,2451.1,1
112A,MDOT4932,7696.2,1
113A,MDOT4011,7594.6,1
114A,ARB061,2641.6,1
115A,MDOT4240,10000,0
116A,ARB083,2438.4,1
117A,MDOT8706,5486.4,1
118A,ARB063,2171.7,0
119A,MDOT2491,7315.2,1
120A,PTK023,1625.6,0
121A,PTK018,1504.9,0
122A,ARB059,7950.8,0
123A,ARB062,2498.7,0